2025-11-28 03:19:41.755 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-28 03:19:41.756 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-28 03:19:41.757 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-28 03:19:41.758 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-28 03:19:41.763 | INFO     | [nexuts:_recover_from_db:201] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-28 03:20:06.391 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-28 03:20:06.391 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-28 03:20:06.392 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-28 03:20:06.393 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-28 03:20:06.394 | INFO     | [nexuts:_recover_from_db:201] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-28 03:20:27.066 | INFO     | [nexuts:register_instance:143] | [Register] sentry=104369026, instance=test_prefill_wzs, type=prefill 注册成功
2025-11-28 03:20:27.069 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300027.0691922}
2025-11-28 03:20:32.076 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300032.076153}
2025-11-28 03:20:36.393 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-28 03:20:37.084 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300037.0834396}
2025-11-28 03:20:42.091 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300042.0904753}
2025-11-28 03:20:47.096 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300047.0958092}
2025-11-28 03:20:52.103 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300052.1029522}
2025-11-28 03:20:57.110 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300057.1099868}
2025-11-28 03:21:02.117 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300062.117059}
2025-11-28 03:21:06.396 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-28 03:21:07.124 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300067.124104}
2025-11-28 03:24:10.796 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-28 03:24:10.796 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-28 03:24:10.797 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-28 03:24:10.798 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-28 03:24:10.806 | INFO     | [nexuts:_recover_from_db:201] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-28 03:24:40.799 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-28 03:24:46.301 | INFO     | [nexuts:register_instance:143] | [Register] sentry=104369026, instance=test_prefill_wzs, type=prefill 注册成功
2025-11-28 03:24:46.306 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300286.3054175}
2025-11-28 03:24:51.313 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764300291.3128836}
