2025-11-27 07:23:05.405 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 07:23:05.405 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 07:23:05.406 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 600, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 07:23:05.407 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 07:23:05.412 | INFO     | [nexuts:_recover_from_db:194] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 07:23:36.173 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 07:23:36.173 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 07:23:36.174 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 600, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 07:23:36.175 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 07:23:36.176 | INFO     | [nexuts:_recover_from_db:194] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 07:33:36.175 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:50:34.480 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 07:50:34.480 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 07:50:34.481 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 07:50:34.482 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 07:50:34.487 | INFO     | [nexuts:_recover_from_db:195] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 07:51:04.483 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:51:34.485 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:52:04.488 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:52:34.491 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:53:04.494 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:53:34.497 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 07:53:52.921 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 07:53:52.921 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 07:53:52.923 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 07:53:52.924 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 07:53:52.929 | INFO     | [nexuts:_recover_from_db:195] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 07:54:22.088 | INFO     | [Sentry_manager.Sentry:_ping:54] | [Heartbeat] http://{self.ip}:{self.port}/v1/health FAILED ❌: Failed to perform, curl: (3) URL rejected: Port number was not a decimal number between 0 and 65535. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-11-27 07:54:22.924 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 08:23:59.964 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 08:23:59.964 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 08:23:59.966 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 08:23:59.967 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 08:23:59.971 | INFO     | [nexuts:_recover_from_db:195] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 08:24:29.967 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 08:24:52.331 | INFO     | [Sentry_manager.Sentry:_ping:54] | [Heartbeat] http://{self.ip}:{self.port}/v1/health FAILED ❌: Failed to perform, curl: (3) URL rejected: Port number was not a decimal number between 0 and 65535. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-11-27 08:24:52.335 | INFO     | [nexuts:register_instance:137] | [Register] sentry=ca2QC32AYDBRn, instance=test_prefill_wzs, type=prefill 注册成功
2025-11-27 08:24:59.970 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 08:44:11.494 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 08:44:11.494 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-11-27 08:44:11.495 | INFO     | [nexuts:__init__:19] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1}
2025-11-27 08:44:11.496 | INFO     | [persistence.snap_manager:load_snapshot:170] | No snapshot found at /data/nexuts/snapshot_dir
2025-11-27 08:44:11.502 | INFO     | [nexuts:_recover_from_db:195] | [Recovery] 恢复了 0 个 sentry 节点
2025-11-27 08:44:38.265 | INFO     | [nexuts:register_instance:137] | [Register] sentry=tTFlxkzaVwEKe, instance=test_prefill_wzs, type=prefill 注册成功
2025-11-27 08:44:38.268 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764233078.2677922}
2025-11-27 08:44:41.497 | INFO     | [persistence.snap_manager:take_snapshot:131] | snapshot_trigger_version:0 freeze_finish_version:0
2025-11-27 08:44:43.275 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764233083.2747185}
2025-11-27 08:44:48.277 | INFO     | [Sentry_manager.Sentry:_ping:47] | [Heartbeat] http://172.16.16.63:9992/v1/health returned non-ok: {'status': 'ok', 'timestamp': 1764233088.2770383}
2025-11-27 08:44:53.283 | INFO     | [Sentry_manager.Sentry:_ping:54] | [Heartbeat] http://172.16.16.63:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 172.16.16.63 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-11-27 08:49:27.587 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-11-27 08:49:27.588 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
